	Dmawii-to-Dcoriacea	Cinsculpta-to-Dcoriacea	Cmccordi-to-Dcoriacea	Pexpansa-to-Dcoriacea	Amarmorata-to-Dcoriacea	Mtuberculata-to-Dcoriacea	Rswinhoei-to-Dcoriacea	Esubglobosa-to-Dcoriacea
gene-USHBP1	UL	PI	UL	I	M	UL	UL	UL
gene-GLG1	I	I	I	I	I	I	I	I
gene-LOC119845819	PI	UL	UL	UL	UL	UL	UL	UL
gene-IL11RA	PI	M	UL	UL	I	I	I	UL
gene-CLOCK	I	I	I	I	I	I	I	I
gene-LOC119848093	I	M	I	I	I	I	I	I
gene-GABRG3	I	UL	I	I	I	I	I	I
gene-PLCXD1	I	I	PI	I	PI	I	I	I
gene-LOC119858496	I	I	I	I	I	I	UL	I
gene-HS3ST2	I	PI	PI	PI	I	PI	I	I
gene-LOC119849103	UL	UL	I	UL	I	I	I	I
gene-PDE1C	I	I	I	I	I	UL	UL	I
gene-FRMD6	I	I	I	I	I	I	UL	I
gene-SOX8	I	I	I	I	I	I	UL	I
gene-LOC119843080	I	M	UL	I	I	L	I	L
gene-FHAD1	UL	UL	UL	UL	UL	UL	UL	UL
gene-LOC119847920	I	I	PI	I	I	I	I	I
gene-LAMB2	L	L	L	I	PI	I	UL	I
gene-DEPDC1B	I	I	PI	I	I	I	I	I
gene-NLRC5	I	PI	I	I	I	I	I	I
gene-LPIN3	I	I	I	I	I	I	L	I
gene-SURF4	I	I	I	I	I	I	I	I
gene-ATAD1	I	I	I	I	I	I	I	I
gene-CBX4	I	I	I	I	I	I	I	I
gene-SEMA6A	I	I	I	I	I	I	I	I
gene-OSR1	I	I	I	I	I	I	I	I
gene-ATP2B1	I	I	I	I	I	I	I	I
gene-NKIRAS2	I	I	I	I	I	I	UL	I
gene-PLEKHG5	I	UL	I	I	I	I	UL	I
gene-LOC122456535	PI	L	UL	PM	L	I	PI	UL
gene-ROR1	I	I	I	I	I	I	I	I
gene-LOC122457698	PG	PG	L	UL	L	L	UL	L
gene-FAM229A	UL	UL	UL	UL	UL	UL	UL	UL
gene-TFB1M	I	I	I	I	I	I	I	I
gene-AJAP1	I	I	I	I	I	I	UL	I
gene-CARD11	I	I	I	I	I	I	UL	I
gene-SLC38A6	I	I	I	I	I	I	I	I
gene-PIGL	UL	UL	UL	L	UL	UL	UL	UL
gene-PLEKHA6	I	I	I	I	I	I	UL	I
gene-NSMAF	I	I	I	I	I	I	I	I
gene-CRYGN	I	I	I	I	I	I	UL	I
gene-PRMT8	I	I	PI	I	PI	I	I	I
gene-SLC4A8	I	I	I	I	I	I	I	I
gene-DMRT3	I	I	I	I	I	PI	I	I
gene-DTX3	M	I	M	I	I	I	I	I
gene-RIPOR1	I	UL	I	I	UL	I	UL	I
gene-PTCD1	I	I	I	I	I	I	I	I
gene-GPHN	I	I	PI	I	I	I	I	I
gene-LOC119851123	I	I	I	I	I	I	I	I
gene-IBTK	I	I	I	I	I	I	I	I
gene-MFHAS1	M	I	L	I	I	L	I	I
gene-IGBP1	I	I	I	I	I	I	I	I
gene-ADAM22	I	PI	I	I	I	I	I	I
gene-HCFC1R1	I	I	PI	I	I	I	I	UL
gene-AKAP7	I	I	I	I	PI	I	UL	I
gene-SLC5A9	I	I	PI	I	I	I	UL	I
gene-LRRC34	I	I	I	I	I	I	I	I
gene-LOC122456626	I	L	UL	M	UL	M	UL	M
gene-VPS45	I	I	I	I	I	I	I	I
gene-SRRM3	I	I	I	UL	PI	UL	UL	UL
gene-LOC119848368	I	I	I	I	I	I	I	I
gene-GLRA2	I	I	I	I	I	I	I	I
gene-LOC122457032	I	I	I	L	I	I	I	I
gene-ATP6V0B	I	I	I	I	I	I	I	I
gene-LOC119853652	I	I	I	I	I	I	I	I
gene-PELI1	I	I	I	I	I	I	I	I
gene-LOC122461021	L	M	M	M	M	M	M	M
gene-LOC119854596	I	I	I	I	I	I	I	I
gene-LOC119849248	PG	I	I	I	I	I	I	I
gene-LSM2	UL	M	PM	UL	UL	UL	UL	UL
gene-LOC119861107	I	I	I	I	I	I	UL	I
gene-MRPS24	I	I	I	I	I	I	UL	UL
gene-MFSD11	I	I	I	I	I	I	I	I
gene-LOC122456532	UL	L	L	UL	UL	L	L	L
gene-TAB2	I	I	I	I	I	I	I	I
gene-LOC119845926	M	I	I	I	I	I	I	I
gene-TMX3	I	I	I	I	I	I	UL	I
gene-TMEM211	L	PM	UL	L	L	L	L	L
gene-CTIF	I	I	I	I	I	I	UL	I
gene-PSPN	I	I	I	I	I	I	I	I
gene-LOC122456128	L	L	L	L	L	L	L	L
gene-LOC119854301	UL	I	UL	UL	UL	UL	UL	UL
gene-ING4	I	I	I	I	I	I	I	I
gene-PARK7	I	I	I	I	I	I	I	I
gene-OXLD1	PI	UL	I	I	I	I	UL	I
gene-LOC119849135	I	PI	I	L	PI	I	UL	I
gene-PTPDC1	I	I	I	I	I	I	I	I
gene-PEBP4	I	I	I	I	I	I	I	I
gene-LIN9	I	I	I	I	I	I	I	I
gene-CTXND1	I	I	I	I	I	I	I	I
gene-EIF2AK2	UL	I	UL	PI	PI	UL	UL	UL
gene-TEF	I	I	I	I	I	I	I	I
gene-LOC119861153	I	I	I	UL	I	I	I	I
gene-ZFYVE26	PI	I	I	I	I	I	I	I
gene-AHDC1	I	I	I	I	I	I	L	I
gene-TMEM114	I	I	I	L	PI	PI	I	I
gene-LOC119853602	I	M	I	L	UL	I	L	UL
gene-SNRNP70	I	I	PM	I	I	UL	I	I
gene-TP63	I	I	I	I	I	I	I	I
gene-SELE	I	I	I	I	I	I	UL	I
gene-DNAJC19	I	I	I	PI	I	I	I	I
gene-CKAP4	I	I	I	I	I	I	I	I
gene-LCA5L	I	I	I	I	I	I	I	I
gene-LOC119843767	L	L	L	L	UL	L	L	UL
gene-GOLGB1	I	I	I	I	I	I	I	I
gene-LOC119843298	I	I	I	I	I	I	I	I
gene-SMCO4	L	I	L	I	L	UL	UL	UL
gene-SLC66A2	I	I	PI	I	I	I	I	I
gene-SMIM29	I	I	I	I	I	I	I	I
gene-LOC119858608	I	I	I	I	I	I	I	I
gene-LOC119860333	I	I	I	I	I	I	I	I
gene-LOC119861605	I	I	I	I	I	I	I	I
gene-STXBP4	I	I	I	I	PI	I	I	I
gene-PLCL2	I	I	I	I	I	I	UL	I
gene-ELF3	I	I	I	I	I	I	I	I
gene-WAC	I	I	I	I	I	I	I	I
gene-ASTE1	I	I	I	I	I	I	I	I
gene-BBS9	I	I	I	I	I	I	UL	I
gene-PLA2G7	I	I	I	I	I	I	I	I
gene-FLT4	I	I	I	I	I	I	I	I
gene-ULK3	I	I	I	I	I	I	I	I
gene-TFB2M	I	I	I	I	I	I	UL	I
gene-CRLF3	I	I	I	PI	I	I	I	I
gene-LOC119841634	M	abs	abs	M	M	M	M	M
gene-NRBP2	PI	PI	PI	I	I	PI	I	I
gene-LOC119853080	UL	L	UL	L	L	L	L	L
gene-PSEN1	I	I	I	I	I	I	I	I
gene-ZNHIT1	L	M	M	M	M	UL	L	UL
gene-S1PR5	I	I	I	I	I	I	I	I
gene-CACNA2D2	I	PI	PI	I	I	I	UL	I
gene-LOC119843338	L	L	L	L	PI	L	I	L
gene-LOC119845332	L	L	L	L	UL	L	L	L
gene-LOC119858797	L	L	I	UL	I	L	L	L
gene-ADAMTS3	I	I	I	I	I	I	I	I
gene-CPSF4L	UL	UL	UL	L	UL	UL	UL	UL
gene-LOC119842368	I	L	UL	L	I	L	I	I
gene-WAS	I	I	UL	I	PI	UL	I	I
gene-MPP4	I	I	I	I	I	I	UL	I
gene-KPTN	I	I	UL	I	I	I	I	I
gene-C9H8orf48	I	I	UL	I	I	I	I	I
gene-LOC119843000	I	I	I	I	I	I	I	I
gene-QTRT2	I	I	I	UL	I	I	UL	I
gene-DPCD	I	PI	I	I	I	I	I	I
gene-SLC17A6	I	I	I	I	I	I	I	I
gene-GSTO1	I	I	I	I	I	I	I	I
gene-GAS2L2	I	I	I	I	I	I	I	I
gene-FRMD7	UL	UL	UL	I	I	UL	UL	I
gene-UBB	M	M	M	M	M	M	I	M
gene-LOC119847150	UL	UL	UL	I	L	I	UL	PI
gene-OSTN	I	I	I	I	I	I	I	I
gene-FOXL1	I	I	I	I	I	I	I	I
gene-ARHGEF4	I	I	I	I	I	I	I	I
gene-STAR	I	I	I	I	PI	I	I	I
gene-LNPK	I	I	I	I	I	I	I	I
gene-SSBP2	I	I	I	I	I	I	I	I
gene-FAM89A	I	I	I	I	I	I	I	I
gene-LOC119849119	PI	I	I	UL	L	I	I	UL
gene-RAP1GDS1	I	I	I	I	I	I	I	I
gene-CCNH	I	I	I	I	I	I	I	I
gene-TMCC3	I	I	I	I	I	I	I	I
gene-CHST4	I	I	I	I	I	M	I	I
gene-SNX15	I	I	I	I	I	PI	I	I
gene-LOC119842531	I	L	I	M	I	M	I	M
gene-MLANA	I	I	I	I	I	I	I	I
gene-ABHD12	I	I	I	I	I	I	I	I
gene-TPRKB	I	I	I	I	I	I	I	I
gene-CLN5	I	I	PI	I	I	I	I	I
gene-FNDC7	I	I	I	I	I	I	I	I
gene-CDKL2	I	I	PI	I	PI	I	I	I
gene-RPS3	I	I	I	I	I	I	I	I
gene-DMPK	PI	I	PM	UL	UL	I	I	I
gene-LOC119841588	I	I	I	M	I	M	L	M
gene-NEK10	I	I	I	I	PI	I	I	I
gene-MAP1S	I	I	I	I	I	I	UL	I
gene-LOC119860037	I	I	I	I	PI	I	I	I
gene-LOC119846113	I	I	UL	I	PI	I	I	I
gene-LOC119858892	I	I	I	UL	I	UL	I	UL
gene-NCEH1	I	I	I	I	I	I	UL	I
gene-TCN2	I	I	I	I	I	I	I	I
gene-KMT2E	I	I	I	I	I	I	I	I
gene-HMGXB4	I	I	I	I	I	I	I	I
gene-POU1F1	I	UL	I	I	PI	I	UL	I
gene-INO80	I	I	I	I	PI	I	I	I
gene-LOC119851241	I	I	I	I	I	I	I	M
gene-MRPL40	I	I	I	I	I	I	I	I
gene-AGPS	I	I	I	I	I	PI	I	I
gene-SUSD4	I	I	I	I	I	I	I	I
gene-PHTF1	I	I	I	I	I	I	I	I
gene-RABEP2	PM	PI	PI	UL	UL	I	I	I
gene-BANF2	I	I	I	I	I	I	I	I
gene-PDE12	I	I	I	I	I	I	I	I
gene-SLC4A4	I	I	I	I	I	I	UL	I
gene-SEC31B	I	I	I	I	UL	I	I	I
gene-SPARC	I	I	I	I	I	I	I	I
gene-BDP1	I	I	I	I	I	I	UL	I
gene-SMC5	I	PI	I	I	I	I	I	I
gene-LOC122459446	L	L	L	L	L	L	L	L
gene-LSM14B	I	I	I	I	I	I	UL	I
gene-MXRA7	I	I	I	I	I	I	I	I
gene-POLR3B	I	PI	UL	PI	UL	UL	I	I
gene-LOC119848489	I	I	I	I	I	I	I	I
gene-EBI3	I	I	I	I	I	I	I	I
gene-SEC16A	I	I	I	I	I	I	UL	I
gene-STBD1	I	I	I	PI	I	PI	UL	UL
gene-LOC119862968	I	I	I	I	I	I	L	I
gene-ARHGAP12	I	I	I	I	I	I	I	I
gene-POLR2L	I	I	I	I	I	I	I	I
gene-PKDREJ	I	I	I	I	I	I	M	I
gene-ZNF410	I	I	I	I	I	I	I	I
gene-SEMA4C	I	M	I	I	I	I	UL	PI
gene-RNF10	I	I	I	I	I	I	I	I
gene-LOC119850784	UL	L	I	L	I	UL	L	UL
gene-DGCR2	I	I	I	I	I	I	I	I
gene-LOC119863385	I	PG	I	M	I	M	I	M
gene-RPL32	I	I	I	I	I	I	I	I
gene-LOC119861405	I	I	I	I	I	I	I	I
gene-PSENEN	I	I	PI	I	I	PI	I	I
gene-LOC119861142	I	I	I	I	I	I	I	I
gene-CAPSL	I	I	I	I	I	I	I	I
gene-ADORA3	I	I	I	I	I	I	I	I
gene-FGF17	I	I	I	I	I	I	I	I
gene-ABR	I	PI	PI	PI	I	I	I	I
gene-VCAN	I	I	I	I	I	I	I	I
gene-TMEM126A	I	I	I	I	I	I	I	I
gene-CDC37	I	I	I	I	I	I	UL	I
gene-LOC119863509	I	I	I	I	I	I	I	I
gene-FAM219B	I	I	I	I	I	I	I	I
gene-LOC119849076	I	I	I	I	I	I	UL	PI
gene-LOC119847778	I	UL	UL	UL	PI	UL	UL	UL
gene-ZC3H13	I	I	I	I	I	I	I	I
gene-LOC119849256	L	M	M	L	M	UL	I	UL
gene-EIF3A	PI	I	PI	UL	PI	I	I	PI
gene-SPACA1	I	I	I	I	I	I	I	I
gene-FRY	I	I	I	I	I	I	I	I
gene-GDPD2	I	I	I	I	I	I	UL	I
gene-LOC119854405	I	I	I	I	I	I	UL	I
gene-SLC9A8	I	I	I	I	I	I	UL	I
gene-LOC122460016	I	I	I	UL	I	I	M	I
gene-LOC119856982	I	I	I	I	PI	I	I	I
gene-GASK1A	I	I	I	I	I	I	I	I
gene-LOC119851200	L	UL	L	L	L	L	UL	L
gene-LOC119847040	L	L	L	L	UL	L	L	L
gene-TIMM50	I	I	I	I	PI	I	I	I
gene-TPM2	I	I	I	I	I	I	UL	I
gene-HPCAL4	I	I	I	I	I	I	I	I
gene-VPS37D	PI	I	I	I	PI	PI	I	I
gene-ATP10A	I	I	I	I	I	I	I	I
gene-C7H10orf95	I	I	I	I	I	I	I	I
gene-RPRD1A	I	I	I	I	I	I	I	I
gene-PPP1R35	M	PI	PG	L	L	PM	I	I
gene-KIF12	I	L	UL	L	PI	I	L	UL
gene-ZBTB16	I	I	PI	I	I	I	I	I
gene-INPP1	I	I	PM	I	I	I	UL	I
gene-MPPE1	I	I	I	I	I	I	UL	I
gene-ZNF281	I	I	I	I	I	I	L	I
gene-HDC	I	I	I	I	I	I	I	I
gene-DZANK1	I	I	I	I	I	I	I	I
gene-KCNJ4	I	I	I	I	I	I	I	I
gene-UNK	I	I	I	I	I	I	UL	I
gene-ARCN1	I	I	I	I	I	I	I	I
gene-PRTG	I	UL	I	I	I	I	I	I
gene-AGTR1	I	I	I	I	I	I	I	I
gene-LOC119842201	L	UL	I	I	UL	I	I	I
gene-LOC119849794	I	I	I	I	I	UL	UL	I
gene-CLIP1	I	I	I	I	I	I	I	I
gene-CLCN2	I	I	I	I	I	I	UL	I
gene-SLC35D1	I	I	I	I	I	I	I	I
gene-NME6	PI	I	I	I	I	I	I	I
gene-MRPL22	I	I	I	I	I	I	I	I
gene-LOC119847378	I	L	I	I	I	I	L	I
gene-LOC119856932	M	I	PI	PI	L	M	UL	M
gene-SCRT1	I	I	M	I	I	I	I	I
gene-POU2F2	UL	UL	UL	UL	PM	I	UL	UL
gene-MOGS	I	I	M	I	I	I	I	M
gene-REEP2	I	I	I	PI	I	I	I	I
gene-LOC119856780	UL	L	PI	PI	I	UL	I	I
gene-CENPC	I	I	I	UL	I	I	UL	I
gene-EFCAB6	I	UL	I	I	I	UL	I	I
gene-GRHPR	PI	UL	PI	PI	UL	PI	I	UL
gene-SLC39A10	I	I	I	I	I	I	I	I
gene-NHLRC2	I	I	I	I	I	I	I	I
gene-TACC1	I	I	I	I	I	I	I	I
gene-PPP1R2	PI	PI	UL	UL	UL	PI	UL	UL
gene-LOC119856782	I	I	I	I	I	I	I	I
gene-MGME1	I	I	I	I	I	I	I	I
gene-RBBP6	I	I	I	I	I	I	I	I
gene-LIG1	I	I	I	I	I	I	I	I
gene-LOC122457513	I	L	L	L	L	M	L	M
gene-LOC119857349	I	I	I	I	I	I	I	I
gene-TMEM184A	I	I	I	I	I	I	I	I
gene-BTBD18	I	I	I	I	I	I	I	I
gene-NIPAL2	I	I	I	I	I	I	I	I
gene-SQSTM1	I	I	I	I	I	I	I	I
gene-C25H19orf44	I	UL	I	I	I	I	I	I
gene-LOC119863290	I	I	I	I	I	I	UL	I
gene-TOPAZ1	I	I	I	I	I	I	UL	I
gene-HBP1	I	I	I	I	I	I	I	I
gene-GGCT	PI	I	PI	I	PI	I	I	I
gene-CHST3	I	I	I	I	I	I	I	I
gene-LHFPL3	I	I	PI	I	I	I	I	I
gene-NOCT	I	I	I	I	I	I	I	I
gene-GRK3	I	I	I	I	I	I	UL	I
gene-GOLGA7	I	I	I	I	I	I	I	I
gene-LOC119842355	I	I	I	I	I	I	I	I
gene-SAMD3	I	I	I	I	I	I	UL	I
gene-STC1	I	I	I	I	I	I	I	I
gene-DNAJB5	I	I	I	I	I	I	I	I
gene-FCHSD2	I	I	I	I	I	I	UL	I
gene-LOC122457746	PI	PM	I	L	I	L	L	L
gene-ZNF423	I	I	I	I	I	I	I	I
gene-NEBL	I	I	I	I	I	I	I	I
gene-CLYBL	I	I	I	I	I	I	I	I
gene-RHOF	I	I	I	I	I	I	I	I
gene-DUSP6	I	I	I	I	I	I	I	I
gene-LOC119849182	I	I	I	I	PI	I	I	I
gene-NR0B2	I	I	I	I	I	I	I	I
gene-BSDC1	I	I	I	I	I	I	I	I
gene-LOC119857609	I	I	I	I	I	PI	I	I
gene-KCNB2	I	I	PI	I	I	I	I	I
gene-LOC119842852	I	L	UL	I	PI	I	PI	PI
gene-ELMO3	I	I	PI	I	I	I	UL	I
gene-NPW	I	I	I	M	I	M	I	I
gene-BST1	I	L	I	UL	I	I	I	I
gene-KIF3B	I	I	I	I	I	I	I	I
gene-SHTN1	I	I	I	I	I	I	I	I
gene-LOC122460706	L	L	L	L	L	M	L	L
gene-FAM189A1	I	I	I	I	I	I	I	I
gene-LOC122457359	PI	I	PI	I	PI	I	L	I
gene-CALCOCO2	I	I	PI	I	I	I	I	I
gene-PAX8	PI	UL	I	I	I	I	I	I
gene-LOC119863036	I	I	I	I	I	I	UL	I
gene-LIN37	I	I	I	I	I	I	L	I
gene-TBC1D30	I	I	I	I	I	I	UL	I
gene-TAF1B	I	I	I	I	I	I	I	I
gene-CDK5RAP1	I	I	I	I	I	I	UL	I
gene-LOC122456353	L	M	L	M	M	M	L	M
gene-RNASEH2C	UL	UL	PI	UL	UL	UL	UL	UL
gene-BTLA	I	I	I	I	I	I	I	I
gene-NHSL2	I	I	I	I	I	I	I	I
gene-REST	I	I	I	I	I	I	I	I
gene-ELAVL3	I	PI	I	I	PI	I	I	I
gene-MASTL	I	I	I	I	I	I	I	I
gene-GNL3L	I	UL	I	I	PI	I	I	I
gene-LOC119840976	UL	M	M	M	I	L	M	M
gene-IL23R	I	I	I	I	PI	I	I	I
gene-RPL3	I	I	I	I	I	I	I	I
gene-GRHL3	I	I	I	I	I	I	UL	I
gene-NSA2	I	I	I	I	I	I	I	I
gene-TNFRSF19	I	I	I	I	I	I	I	I
gene-LOC119842512	I	M	I	I	I	I	L	I
gene-KRT24	I	I	I	I	I	I	I	I
gene-CREB3L3	PI	I	PI	I	UL	I	I	I
gene-DENND6B	I	I	I	I	I	I	I	I
gene-CASP7	I	I	I	I	I	I	I	I
gene-DIAPH2	I	I	I	I	I	I	I	I
gene-LOC119848858	UL	I	UL	UL	UL	UL	L	I
gene-FCER1G	I	I	I	I	I	I	I	I
gene-KIAA1522	I	I	I	I	I	I	L	UL
gene-PFKL	I	I	UL	I	I	I	UL	I
gene-TESK2	I	I	I	I	I	I	I	I
gene-NR2F2	I	I	I	I	I	I	I	I
gene-LIMD2	I	I	I	I	I	I	I	I
gene-MIDN	I	I	I	I	I	PI	I	I
gene-KDM4A	I	I	I	I	I	I	I	I
gene-WDR91	UL	UL	UL	UL	UL	UL	UL	UL
gene-CNTN1	I	I	I	I	I	I	I	I
gene-RIDA	UL	UL	UL	UL	UL	UL	I	UL
gene-ADAM17	I	I	I	I	I	I	UL	I
gene-CEMIP2	I	I	I	I	I	I	I	I
gene-LOC122460547	UL	UL	PI	UL	I	L	UL	UL
gene-KCNK2	I	I	I	I	PI	I	I	I
gene-LOC119845486	I	I	I	I	I	I	I	I
gene-SCYL2	I	I	I	I	I	I	I	I
gene-MRPL43	I	I	I	PI	I	I	I	I
gene-CLIP4	I	I	PI	I	I	I	I	I
gene-SLC43A2	I	I	UL	I	I	I	I	I
gene-ACSL3	I	I	I	I	I	I	I	I
gene-FZD7	I	I	I	UL	I	I	L	I
gene-LOC119854072	L	I	I	I	I	I	I	I
gene-LMNB2	I	I	I	I	I	PI	I	I
gene-NACC1	I	I	I	I	I	I	I	I
gene-LOC119860330	I	I	UL	I	I	I	I	I
gene-STEAP2	I	I	I	I	I	I	I	I
gene-IRF3	L	I	L	I	I	M	UL	UL
gene-CCDC28B	I	I	I	I	I	I	I	I
gene-CLPX	I	I	I	I	I	I	I	I
gene-APEH	I	I	I	I	I	I	UL	I
gene-LOC119843174	PI	UL	I	I	I	I	L	I
gene-LDLRAD1	I	I	I	I	I	I	I	I
gene-LOC119841802	I	I	I	L	I	I	I	I
gene-RAB11A	I	I	I	I	I	I	I	I
gene-CIDEA	I	I	I	I	I	I	I	I
gene-LOC119863252	I	PG	PI	PG	PI	PG	L	PG
gene-KIAA1958	I	I	I	I	I	I	I	I
gene-LATS2	I	I	I	I	I	I	I	I
gene-NFKB2	I	I	I	I	I	I	I	I
gene-LOC119860977	I	I	I	I	PI	I	I	I
gene-AGR3	I	I	I	I	I	I	I	I
gene-CD72	I	PI	L	I	PI	PI	I	PI
gene-CCDC47	I	I	I	I	I	I	I	I
gene-DOK5	I	I	I	I	I	I	UL	I
gene-MRPL14	I	I	I	I	I	I	I	I
gene-MTHFSD	I	I	I	I	I	I	I	I
gene-FAM174A	I	I	I	I	I	I	I	I
gene-LOC119847472	I	L	I	L	I	I	I	I
gene-PTPRA	I	I	I	I	I	I	I	I
gene-MRPS21	I	I	I	I	I	I	I	I
gene-LOC122456717	L	M	L	L	UL	L	L	L
gene-SIK1	I	I	I	I	I	I	I	I
gene-LOC119858302	I	I	I	I	I	I	I	I
gene-HOXD3	I	I	I	I	I	I	UL	I
gene-LOC122460325	M	L	UL	L	M	L	L	L
gene-LOC119841398	I	I	I	I	I	I	I	I
gene-LOC119853566	I	I	I	I	I	I	I	I
gene-IHH	PI	PI	PI	I	PI	PI	UL	I
gene-TMCC1	I	I	I	I	I	I	I	I
gene-PACSIN2	I	I	I	I	I	I	I	I
gene-GTF3C4	I	I	I	I	I	I	I	I
gene-LOC119854045	I	I	I	I	I	I	I	I
gene-IFRD2	I	I	I	I	I	I	I	I
gene-LOC119852324	I	I	PI	L	I	L	L	M
gene-PAK6	I	I	I	I	I	I	I	I
gene-CADM3	I	I	I	I	I	I	UL	I
gene-LGR4	I	I	I	I	I	I	I	I
gene-CENPT	I	UL	I	I	I	UL	UL	UL
gene-LOC119861491	I	I	I	I	I	I	I	I
gene-RAD1	I	I	I	I	PI	I	I	I
gene-YAP1	I	I	I	I	I	I	UL	I
gene-LOC119856363	I	M	I	I	M	I	L	I
gene-STX2	I	I	L	I	I	I	I	I
gene-TRAPPC11	I	I	I	I	I	I	I	I
gene-LOC119859029	L	I	L	I	UL	I	I	I
gene-NKX1-2	I	I	I	UL	I	I	UL	I
gene-RALGAPA1	I	I	I	I	I	I	I	I
gene-WDR26	I	I	I	I	PI	I	I	I
gene-SKIDA1	I	I	I	I	I	I	UL	I
gene-STK24	I	L	I	I	PI	I	I	I
gene-SMAD5	I	I	I	I	I	I	I	I
gene-LOC119862990	I	I	I	I	I	I	L	I
gene-SEC11C	I	I	I	I	I	I	I	I
gene-BTD	I	I	I	I	I	I	L	I
gene-RGL2	PM	PI	PI	I	UL	UL	UL	L
gene-MCOLN3	I	I	I	I	I	I	I	I
gene-PANK2	I	I	I	I	I	I	I	I
gene-C23H19orf47	I	I	I	I	I	I	UL	I
gene-ARPC4	PI	PI	PI	UL	I	I	UL	I
gene-FGFR4	M	M	PI	I	PI	I	UL	I
gene-REPS1	I	I	I	I	I	I	I	I
gene-LOC119863459	I	UL	I	M	I	I	I	I
gene-WDR13	M	I	PM	I	M	I	UL	I
gene-CKAP5	I	I	I	UL	I	I	I	I
gene-FGD4	I	I	I	I	I	I	UL	I
gene-BCL9	I	I	I	I	I	I	I	I
gene-TMEM79	I	I	I	I	I	I	UL	I
gene-NAPEPLD	I	I	I	I	I	I	I	I
gene-SUSD3	I	I	I	I	I	I	I	I
gene-CYREN	I	I	I	I	I	I	I	I
gene-ANKRD10	I	I	I	I	I	I	I	I
gene-XRCC4	I	I	PI	I	I	I	I	I
gene-POFUT1	I	I	I	I	I	I	I	I
gene-ALKBH3	I	I	I	I	I	I	I	I
gene-WFS1	I	I	I	I	I	I	UL	I
gene-SPATS2	I	I	I	I	I	I	I	I
gene-ILDR1	I	I	I	I	I	I	I	I
gene-VPS8	I	I	I	I	I	PI	I	I
gene-RAC2	I	I	I	I	I	I	I	I
gene-LOC119843334	UL	L	L	L	L	L	UL	L
gene-FAM171A2	PI	I	PI	I	I	I	I	I
gene-KIAA0513	I	I	I	I	I	I	I	I
gene-GNAL	I	I	I	I	I	I	I	I
gene-KCNT2	I	PI	I	I	I	I	I	I
gene-ABCA7	I	I	UL	UL	I	UL	I	UL
gene-LOC119857647	I	I	I	I	I	I	I	I
gene-LRRC4C	I	I	I	I	I	I	I	I
gene-PMPCA	I	I	I	I	I	I	I	I
gene-LOC122457511	UL	M	UL	UL	UL	L	UL	M
gene-LOC119858378	I	UL	I	I	I	I	I	I
gene-TRAF5	I	I	I	I	I	I	I	I
gene-B3GALNT2	I	I	I	I	I	I	I	I
gene-GRIN2C	I	I	I	I	I	I	I	I
gene-LRRC7	I	I	PI	I	I	I	I	I
gene-ABHD12B	I	I	I	I	I	I	UL	I
gene-MRPL20	I	I	I	I	I	I	I	I
gene-SULT2A1	I	I	I	L	I	L	I	M
gene-SMUG1	I	I	I	I	I	I	I	I
gene-SPTAN1	I	UL	I	I	I	I	UL	I
gene-PPP3CA	I	I	I	I	I	I	I	I
gene-KIF11	I	I	I	I	I	I	I	I
gene-CLK2	I	I	I	I	I	I	I	I
gene-C2H8orf89	I	I	PI	I	I	I	UL	I
gene-YIF1A	UL	I	I	UL	I	UL	UL	I
gene-LOC122457242	I	PI	I	I	I	I	I	PI
gene-COPRS	I	I	I	PI	PI	I	I	PI
gene-RP1L1	I	I	I	I	I	I	I	PI
gene-LOC119857572	I	I	I	I	I	I	I	I
gene-TRAP1	I	I	I	I	I	I	I	I
gene-LOC119854750	I	I	I	I	I	I	I	I
gene-SFR1	I	I	I	I	I	I	I	I
gene-PTS	PI	UL	PI	UL	UL	I	I	UL
gene-LOC119850414	I	PI	I	I	I	PI	I	I
gene-JMY	I	I	I	I	PI	I	I	I
gene-BLMH	I	I	I	I	I	I	PI	I
gene-OSGIN2	I	I	I	I	I	I	I	I
gene-LOC119843072	I	M	L	L	I	L	L	L
gene-PUSL1	I	I	I	I	I	I	I	I
gene-MECP2	I	M	PI	I	L	I	UL	UL
gene-KCNA2	I	I	I	I	I	I	I	I
gene-SLC30A3	PM	M	PM	I	PM	I	I	I
gene-RALGPS2	I	I	I	I	I	I	I	I
gene-C2H7orf25	I	I	I	I	I	I	I	I
gene-THEMIS	I	I	I	I	I	I	UL	I
gene-TMEM183A	I	I	PI	I	PI	PI	I	I
gene-STX3	I	I	I	I	I	I	I	I
gene-IL1R2	I	I	I	I	I	I	I	I
gene-PGAP1	I	I	I	I	I	I	I	I
gene-BCAN	PI	I	I	I	I	I	I	I
gene-SLC1A2	I	I	I	I	I	I	I	I
gene-KIF3C	I	I	I	I	UL	I	I	I
gene-NSMCE2	I	I	I	I	I	I	I	I
gene-ANXA8L1	I	I	I	I	I	I	I	I
gene-LOC119845326	UL	L	I	UL	I	UL	L	UL
gene-MFSD6L	I	I	I	I	I	I	I	I
gene-RNF157	I	I	I	I	I	I	I	I
gene-LOC122456518	UL	PI	PI	UL	PI	L	UL	PI
gene-MRAS	I	I	I	I	I	I	I	I
gene-B3GAT1	I	I	I	I	I	I	I	I
gene-PARP10	M	PI	PI	PI	PI	M	L	I
gene-LRRC36	I	I	I	PI	I	I	I	I
